category,name,address,city,state,zip,confidence
library,Julia Hull District Library,100 Library Ln,Stillman Valley,IL,61084,0.95
library,Rockford Public Library,1238 S Winnebago St,Rockford,IL,61102,0.96
library,Crawford Library of the Health Sciences-Rockford,1601 Parkview Ave,Rockford,IL,61107,0.96
library,Howard Colman Library,"Rockford University Dining, 5050 E State St",Rockford,IL,61108,0.99
library,Rockford Public Library,6685 E State St,Rockford,IL,61108,0.95
library,Forreston Public Library,204 S 1st Ave,Forreston,IL,61030,0.95
library,Bertolet Memorial Library,705 Main St,Leaf River,IL,61047,0.95
library,Mt Morris Public Library,105 S McKendrie Ave,Mt Morris,IL,61054,0.96
library,Freeport Public Library,100 E Douglas St,Freeport,IL,61032,0.99
library,Pearl City Public Library,221 S Main St,Pearl City,IL,61062,0.96
library,Lanark Public Library,111 S Broad St,Lanark,IL,61046,0.95
library,Chadwick Public Library,110 Main St,Chadwick,IL,61014,0.96
library,Odell Public Library,307 S Madison St,Morrison,IL,61270,0.95
library,Milledgeville Public Library,18 W 5th St,Milledgeville,IL,61051,0.99
library,Sterling Public Library,102 W 3rd St,Sterling,IL,61081,0.96
library,Rock Falls Public Library,1007 7th Ave,Rock Falls,IL,61071,0.96
library,Polo Public Library,302 W Mason St,Polo,IL,61064,0.95
library,Dixon Public Library,221 S Hennepin Ave,Dixon,IL,61021,0.99
library,Oregon Public Library,300 Jefferson St,Oregon,IL,61061,0.96
library,Walnut Public Library District,101 Heaton St,Walnut,IL,61376,0.95
library,Pankhurst Memorial Library,3 S Jefferson Ave,Amboy,IL,61310,0.96
library,Ohio Public Library District,112 N Main St,Ohio,IL,61349,0.95
library,Henry C Adams Memorial Library,209 W 3rd St,Prophetstown,IL,61277,0.95
library,Annawan-Alba Library,200 N Meadow Ln,Annawan,IL,61234,0.95
library,Mineral-Gold Public Library District,120 E Main St,Mineral,IL,61344,0.95
library,Neponset Public Library,201 W Commercial St,Neponset,IL,61345,0.96
library,Sheffield Public Library,136 E Cook St,Sheffield,IL,61361,0.95
